"entrez.id;""gene.symbols"";""type.of.regulators"""
"165;""AEBP1"";""TF"""
"196;""AHR"";""TF"""
"257;""ALX3"";""TF"""
"367;""AR"";""TF"""
"401;""PHOX2A"";""TF"""
"405;""ARNT"";""TF"""
"429;""ASCL1"";""TF"""
"430;""ASCL2"";""TF"""
"463;""ZFHX3"";""TF"""
"466;""ATF1"";""TF"""
"467;""ATF3"";""TF"""
"468;""ATF4"";""TF"""
"473;""RERE"";""TF"""
"474;""ATOH1"";""TF"""
"571;""BACH1"";""TF"""
"579;""NKX3-2"";""TF"""
"602;""BCL3"";""TF"""
"604;""BCL6"";""TF"""
"639;""PRDM1"";""TF"""
"646;""BNC1"";""TF"""
"657;""BMPR1A"";""TF"""
"668;""FOXL2"";""TF"""
"677;""ZFP36L1"";""TF"""
"678;""ZFP36L2"";""TF"""
"687;""KLF9"";""TF"""
"688;""KLF5"";""TF"""
"745;""MYRF"";""TF"""
"860;""RUNX2"";""TF"""
"861;""RUNX1"";""TF"""
"862;""RUNX1T1"";""TF"""
"863;""CBFA2T3"";""TF"""
"864;""RUNX3"";""TF"""
"865;""CBFB"";""TF"""
"867;""CBL"";""TF"""
"1045;""CDX2"";""TF"""
"1046;""CDX4"";""TF"""
"1050;""CEBPA"";""TF"""
"1051;""CEBPB"";""TF"""
"1052;""CEBPD"";""TF"""
"1053;""CEBPE"";""TF"""
"1054;""CEBPG"";""TF"""
"1112;""FOXN3"";""TF"""
"1385;""CREB1"";""TF"""
"1386;""ATF2"";""TF"""
"1387;""CREBBP"";""TF"""
"1388;""ATF6B"";""TF"""
"1389;""CREBL2"";""TF"""
"1390;""CREM"";""TF"""
"1406;""CRX"";""TF"""
"1482;""NKX2-5"";""TF"""
"1487;""CTBP1"";""TF"""
"1499;""CTNNB1"";""TF"""
"1523;""CUX1"";""TF"""
"1649;""DDIT3"";""TF"""
"1745;""DLX1"";""TF"""
"1746;""DLX2"";""TF"""
"1747;""DLX3"";""TF"""
"1748;""DLX4"";""TF"""
"1750;""DLX6"";""TF"""
"1761;""DMRT1"";""TF"""
"1811;""SLC26A3"";""TF"""
"1820;""ARID3A"";""TF"""
"1827;""RCAN1"";""TF"""
"1831;""TSC22D3"";""TF"""
"1869;""E2F1"";""TF"""
"1870;""E2F2"";""TF"""
"1871;""E2F3"";""TF"""
"1874;""E2F4"";""TF"""
"1875;""E2F5"";""TF"""
"1876;""E2F6"";""TF"""
"1877;""E4F1"";""TF"""
"1879;""EBF1"";""TF"""
"1958;""EGR1"";""TF"""
"1959;""EGR2"";""TF"""
"1960;""EGR3"";""TF"""
"1961;""EGR4"";""TF"""
"1997;""ELF1"";""TF"""
"1998;""ELF2"";""TF"""
"1999;""ELF3"";""TF"""
"2000;""ELF4"";""TF"""
"2001;""ELF5"";""TF"""
"2002;""ELK1"";""TF"""
"2004;""ELK3"";""TF"""
"2005;""ELK4"";""TF"""
"2016;""EMX1"";""TF"""
"2018;""EMX2"";""TF"""
"2019;""EN1"";""TF"""
"2020;""EN2"";""TF"""
"2023;""ENO1"";""TF"""
"2063;""NR2F6"";""TF"""
"2077;""ERF"";""TF"""
"2078;""ERG"";""TF"""
"2099;""ESR1"";""TF"""
"2100;""ESR2"";""TF"""
"2113;""ETS1"";""TF"""
"2114;""ETS2"";""TF"""
"2115;""ETV1"";""TF"""
"2116;""ETV2"";""TF"""
"2117;""ETV3"";""TF"""
"2118;""ETV4"";""TF"""
"2119;""ETV5"";""TF"""
"2120;""ETV6"";""TF"""
"2122;""MECOM"";""TF"""
"2128;""EVX1"";""TF"""
"2290;""FOXG1"";""TF"""
"2295;""FOXF2"";""TF"""
"2296;""FOXC1"";""TF"""
"2297;""FOXD1"";""TF"""
"2298;""FOXD4"";""TF"""
"2299;""FOXI1"";""TF"""
"2300;""FOXL1"";""TF"""
"2301;""FOXE3"";""TF"""
"2302;""FOXJ1"";""TF"""
"2303;""FOXC2"";""TF"""
"2304;""FOXE1"";""TF"""
"2305;""FOXM1"";""TF"""
"2306;""FOXD2"";""TF"""
"2307;""FOXS1"";""TF"""
"2309;""FOXO3"";""TF"""
"2313;""FLI1"";""TF"""
"2353;""FOS"";""TF"""
"2354;""FOSB"";""TF"""
"2355;""FOSL2"";""TF"""
"2494;""NR5A2"";""TF"""
"2551;""GABPA"";""TF"""
"2553;""GABPB1"";""TF"""
"2623;""GATA1"";""TF"""
"2624;""GATA2"";""TF"""
"2625;""GATA3"";""TF"""
"2626;""GATA4"";""TF"""
"2627;""GATA6"";""TF"""
"2636;""GBX1"";""TF"""
"2637;""GBX2"";""TF"""
"2736;""GLI2"";""TF"""
"2737;""GLI3"";""TF"""
"2908;""NR3C1"";""TF"""
"2928;""GSC2"";""TF"""
"2966;""GTF2H2"";""TF"""
"2967;""GTF2H3"";""TF"""
"2968;""GTF2H4"";""TF"""
